code,description,marca,price_distributor,price_distributor_with_ipi,price_final,price_final_with_ipi,priceresale,priceresalewithipi
5L500,BATERIA DE LITIO NAO RECARREGAVEL,,2288.58,2511.72,2542.87,2790.80,,
3L960,BATERIA DE NIMH INTERNA RECARREGAVEL,,2379.44,2611.44,2643.83,2901.60,,
AM1000,BATERIA LIMNO2 12 VOLT,,4202.00,4611.70,4668.89,5124.11,,
5931-A,BATERIA NICD 12 VOLT 1.9 AH,,2165.87,2377.04,2406.52,2641.15,,
CA20-006,ADAPTADOR TUBO ADT PDT CAPNOGRAFIA TIPO T,,21.46,21.74,26.82,27.17,,
CA10-001,ADAPTADOR TUBO ADULTO CAPNOGRAFIA MAIN-STREAM,,67.05,67.93,67.05,67.93,,
106260,ADAPTADOR TUBO INFANTIL CAPNOGRAFIA MAINSTREAM,,139.15,140.96,139.15,140.96,,
CA10-002,ADAPTADOR TUBO INFANTIL/NEONATAL CAPNOGRAFIA MAINSTREAM,,43.51,44.08,43.51,44.08,,
XS-04479,ADAPTADOR TUBO NEONATAL 3.0 CAPNOGRAFIA,,50.00,50.65,50.00,50.65,,
XS-04480,ADAPTADOR TUBO NEONATAL 3.5 CAPNOGRAFIA,,50.00,50.65,50.00,50.65,,
XS-04481,ADAPTADOR TUBO NEONATAL 4.0 CAPNOGRAFIA,,50.00,50.65,50.00,50.65,,
001.008.00003,FILTRO DE BACTERIA PARA ADAPTADOR TUBO ANALISE GASES,,51.63,52.30,51.63,52.30,,
CA20-014,LINHA COM ADAPTADOR TUBO ADT PDT MICROSTREAM COMP ORIDION 2M,,75.15,76.12,83.50,84.58,,
11996-000080,LINHA COM ADAPTADOR TUBO ADULTO PEDIATRICO MICROSTREAM,,288.53,303.53,288.53,303.53,,
11996-000001,LINHA COM ADAPTADOR TUBO INFANTIL NEONATAL MICROSTREAM,,214.71,225.88,268.39,282.35,,
CA20-004,"LINHA DE AMOSTRAGEM ADT PDT MACHO MACHO 2,5 M",,33.78,34.22,37.53,38.02,,
CA20-007,LINHA DE AMOSTRAGEM MACHO COM ADAPTADOR TUBO ADULTO,,48.77,49.41,48.77,49.41,,
CA20-001,LINHA NASAL ADULTO MACHO 2M,,69.06,69.96,69.06,69.96,,
XS-04475,LINHA NASAL PEDIATRICA MICROSTREAM,,65.09,65.94,65.09,65.94,,
RE-WT002A,WATER TRAP ADT PDT COMPATÍVEL MINDRAY BENEVISION BENEVIEW,,89.64,90.81,112.05,113.51,,
RE-WT001A,WATER TRAP ADT PDT COMPATÍVEL MINDRAY IMEC MEC PM BENEHEART,,76.24,77.24,95.30,96.54,,
CA20-013,WATER TRAP COMPATIVEL GE,,110.11,111.55,137.64,139.43,,
CA20-053,WATER TRAP COMPATIVEL GE,,64.99,65.83,81.23,82.29,,
CA20-008,WATER TRAP COMPATÍVEL PHILIPS,,234.75,237.81,293.44,297.26,,
938F-NC,WATER TRAP CRITICARE,,133.92,135.66,133.92,135.66,,
RE-WT002N,WATER TRAP NEONATAL COMPATÍVEL BENEVISION BENEVIEW MINDRAY,,83.31,84.40,104.14,105.50,,
RE-WT001N,WATER TRAP NEONATAL COMPATÍVEL MINDRAY,,78.18,79.20,97.73,99.00,,
WL-01,WATERLOCK COMPATÍVEL DRAGER,,114.58,116.07,114.58,116.07,,
A34,CONECTOR LUER LOCK FEMEA METAL,,21.50,21.78,26.88,27.23,,
A33,CONECTOR LUER LOCK MACHO METAL,,21.50,21.78,26.88,27.23,,
OEM-Y1545A,CONECTOR PNI ENGATE RAPIDO FEMEA PLASTICO,,34.46,34.90,43.07,43.63,,
A,14 CONECTOR PNI ENGATE RAPIDO MACHO PLASTICO BRANCO A14,,14.01,14.19,17.52,17.74,,
A14,CONECTOR PNI ENGATE RAPIDO MACHO PLASTICO PRETO A14,,14.02,14.20,17.52,17.75,,
A13,CONECTOR PNI FEMEA A13,,72.18,73.12,80.21,81.25,,
A03,CONECTOR PNI FEMEA METAL A03,,7.51,7.61,7.51,7.61,,
A06,CONECTOR PNI FEMEA METAL A06,,43.03,43.59,53.79,54.49,,
A10,CONECTOR PNI FEMEA PLASTICO A10,,3.75,3.80,3.75,3.80,,
A11,CONECTOR PNI FEMEA PLASTICO A11,,8.14,8.25,10.17,10.31,,
A15,CONECTOR PNI FEMEA PLASTICO A15,,15.14,15.33,15.14,15.33,,
A16,CONECTOR PNI FEMEA PLASTICO A16,,6.32,6.41,6.32,6.41,,
A07,CONECTOR PNI LUER LOCK FEMEA PLASTICO A07,,2.11,2.13,2.11,2.13,,
A08,CONECTOR PNI LUER LOCK MACHO PLASTICO A08,,2.11,2.13,2.11,2.13,,
A02,CONECTOR PNI MACHO METAL A02,,6.93,7.02,8.66,8.77,,
A04,CONECTOR PNI MACHO METAL A04,,8.86,8.97,11.07,11.22,,
A19,CONECTOR PNI MACHO METAL A19,,9.75,9.88,9.75,9.88,,
A20,CONECTOR PNI MACHO METAL A20,,8.44,8.55,8.44,8.55,,
A05,CONECTOR PNI MACHO PLASTICO A05,,7.77,7.87,9.71,9.83,,
A09,CONECTOR PNI MACHO PLASTICO A09,,2.35,2.38,2.35,2.38,,
A12,CONECTOR PNI MACHO PLASTICO A12,,9.23,9.35,11.54,11.69,,
A26,CONECTOR PNI MACHO PLASTICO A26,,1.39,1.40,1.39,1.40,,
A01,CONECTOR PNI PLASTICO A01,,2.92,2.96,3.65,3.70,,
A108,CONECTOR PNI PLASTICO A108,,54.78,55.50,54.78,55.50,,
A21,CONECTOR PNI PLASTICO A21,,8.24,8.34,8.24,8.34,,
A22,CONECTOR PNI PLASTICO A22,,45.70,46.29,57.13,57.87,,
A40,CONECTOR PNI PLASTICO A40,,61.04,66.99,61.04,66.99,,
CP24,CONECTOR PNI PLASTICO FEMEA COMPATIVEL DIXTAL,,14.62,15.58,18.28,19.47,,
CP09,CONECTOR PNI PLASTICO MACHO COMPATIVEL DIXTAL,,11.30,12.04,14.13,15.04,,
CV-50200,CONECTOR VALVULADO MULTIDOSE,,14.05,14.78,15.10,15.89,,
CSW-04-00,CABO DE DEBITO CARDIACO,,87.31,88.44,87.31,88.44,,
V0010H,ADAPTADOR TIPO GARRA PARA CABO ELETROCARDIOGRAFO,,16.69,16.91,18.55,18.79,,
EA020C3I,CABO ECG COM RABICHOS 03 VIAS TIPO GARRA AHA/IEC COMPATIVEL OMNI PHILIPS,,120.68,122.25,150.85,152.81,,
EA010C3I,CABO ECG COM RABICHOS 03 VIAS TIPO GARRA IEC COMPATIVEL DATEX,,147.79,149.71,147.79,149.71,,
EA007C3I,CABO ECG COM RABICHOS 03 VIAS TIPO GARRA IEC COMPATIVEL GE,,259.90,263.28,259.90,263.28,,
EA011C3I,CABO ECG COM RABICHOS 03 VIAS TIPO GARRA IEC COMPATIVEL HELLIGE,,136.18,137.95,136.18,137.95,,
EA050C3I,CABO ECG COM RABICHOS 03 VIAS TIPO GARRA IEC COMPATIVEL MINDRAY BENEVIEW,,298.30,302.18,298.30,302.18,,
EA023C3I,CABO ECG COM RABICHOS 03 VIAS TIPO GARRA IEC COMPATIVEL PHILIPS 12 PINOS,,280.31,283.95,280.31,283.95,,
EA041S3I,CABO ECG COM RABICHOS 03 VIAS TIPO SNAP IEC COMPATIVEL BIONET,,100.28,101.59,100.28,101.59,,
EA011C5A,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA AHA COMPATIVEL HELLIGE,,138.98,140.78,138.98,140.78,,
EA414C5I,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA AHA/IEC COMPATIVEL COMEN,,263.33,266.76,292.59,296.40,,
EA041C5I,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL BIONET,,205.58,208.25,205.58,208.25,,
EA010C5I,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL DATEX,,163.27,165.39,163.27,165.39,,
EA020C5I,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL DIXTAL OMNI MINDRAY,,206.47,209.15,206.47,209.15,,
OEM-E1118A,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL DIXTAL OMNI MINDRAY,,176.44,178.74,196.05,198.60,,
EA007C5I,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL GE DASH 4000,,223.00,225.90,278.75,282.38,,
EA050C5I,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL MINDRAY BENEVIEW,,236.93,240.01,263.26,266.68,,
EA023C5I,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL PHILIPS 12 PINOS,,236.18,239.25,262.42,265.83,,
